Vertexes,Gr,GrSD,GrSA,GrSTD,GrSTA,
98,1.006582040432534,0.7785613540197461,0.8951574988246357,0.7785613540197461,0.9167842031029619,
99,0.8694835680751174,0.8985915492957747,0.9117370892018779,0.7906103286384977,1.028169014084507,
100,1.0009319664492078,0.8000931966449207,0.9813606710158435,0.8000931966449207,1.005591798695247,
101,1.0352622061482821,0.7884267631103075,0.9755877034358047,0.7884267631103075,1.0108499095840868,
102,1.0056892778993436,0.7759299781181619,1.0196936542669583,0.7759299781181619,0.9763676148796498,
103,0.8841567291311755,0.7700170357751278,0.9284497444633731,0.7700170357751278,0.9505962521294719,
104,0.9609472372247612,0.76235978396344,0.9987536352305775,0.76235978396344,0.9800581636892397,
105,0.9869441044471644,0.8457772337821298,0.9877600979192166,0.8172174622603019,0.9518563851489188,
106,0.86960065199674,0.7770986145069275,0.8952730236348818,0.7770986145069275,1.0162999185004076,
107,1.0,0.7803607214428858,0.9783567134268537,0.7803607214428858,0.9486973947895792,
108,0.9469756480754125,0.7965435978004713,0.9473684210526315,0.7965435978004713,0.9469756480754125,
109,0.9088050314465409,0.7948113207547169,0.9716981132075472,0.7948113207547169,0.9905660377358491,
110,0.8369773686229383,0.7886459532029152,1.0563866513233602,0.8622938243191408,0.9819716148830073,
111,1.0236861584011843,0.7964470762398224,0.9570688378978535,0.7964470762398224,0.8497409326424871,
112,1.00509461426492,0.7758369723435226,0.8729985443959243,0.7758369723435226,0.8555312954876274,
113,0.9236085849399782,0.7897417242633685,1.0,0.7897417242633685,0.9774463441251364,
114,0.9782989149457473,0.7941897094854743,0.9709485474273714,0.7742387119355968,1.0063003150157508,
115,0.9389312977099237,0.7834836918806385,1.0145732130464955,0.7834836918806385,0.9868147120055517,
116,0.8757721345229924,0.7882635552505147,0.9800960878517502,0.7882635552505147,1.0243651338366506,
117,0.8393388429752067,0.7890909090909091,1.0191735537190083,0.7705785123966942,1.0033057851239668,
118,0.8570506615037109,0.8009035172636334,0.9422394320748628,0.8009035172636334,0.978702807357212,
119,0.8382817435249527,0.7795325331648768,0.9595704358812381,0.7927984838913456,0.903348073278585,
120,0.8266913809082483,0.7578004324992277,0.9267840593141798,0.7578004324992277,0.9508804448563485,
121,0.8842327404280976,0.7521857099788966,0.9149834187518843,0.7521857099788966,0.9487488694603557,
122,0.9763731205891377,0.7950291500460264,0.9536667689475299,0.7781528076096962,0.942313593126726,
123,0.9847058823529412,0.7611764705882353,0.8647058823529412,0.7611764705882353,0.8758823529411764,
124,0.8341998844598498,0.7628538417099943,0.9740034662045061,0.7628538417099943,0.9491623339110341,
125,0.9903709997167941,0.7785329934862645,0.9858397054658737,0.7785329934862645,1.0,
126,0.8978040540540541,0.768581081081081,0.902027027027027,0.768581081081081,0.8916103603603603,
127,0.8874338255781554,0.7737531345778769,0.9849540261911396,0.7737531345778769,0.978266926720535,
128,0.8745194947830862,0.7745744096650192,0.9802306425041186,0.7745744096650192,0.9365733113673805,
129,0.8694393261384575,0.8094235325085549,0.9868386417478284,0.7694130034219532,0.9842063700973941,
