Vertexes |                Greed      GreedSortedDesc       GreedSortedAsc            GreedLEnd                  BBC           GreedLocal             BBCLocal                Brute
    1520 |               561991               562567               562357
    1521 |               563415               562803               562577
    1522 |               563632               563964               563525
    1523 |               564965               564429               564753
    1524 |               565401               565371               565421
    1525 |               566325               566219               566125
    1526 |               567190               566244               566733
    1527 |               567486               567814               567394
    1528 |               568140               567980               568206
    1529 |               568251               568871               568889
    1530 |               569951               569856               570279
    1531 |               570798               571216               570692
    1532 |               571123               571382               571377
    1533 |               571658               571304               571948
    1534 |               572954               572518               572717
    1535 |               573651               573333               573437
    1536 |               574508               574718               574165
    1537 |               574927               574865               574925
    1538 |               576081               576043               575926
    1539 |               576414               576380               576528
    1540 |               576978               577570               577375
    1541 |               578069               577873               578327
    1542 |               578791               579044               578764
    1543 |               579531               579903               579341
    1544 |               580358               579796               580125
    1545 |               580708               581180               581470
    1546 |               581990               582117               582114
    1547 |               582656               582630               582726
    1548 |               583248               583335               583564
    1549 |               583997               584035               584931
    1550 |               585417               585107               584261
    1551 |               585754               586212               585388
    1552 |               586414               585900               586305
    1553 |               587120               587760               587120
    1554 |               588370               587879               588256
    1555 |               588139               588653               588165
    1556 |               589263               589866               589359
    1557 |               590192               589788               590264
    1558 |               590722               590918               591745
    1559 |               591490               591548               592056
    1560 |               592873               592568               592596
    1561 |               593258               593604               593282
    1562 |               594091               594211               594154
    1563 |               594574               594590               594958
    1564 |               595351               595546               595605
    1565 |               596492               596524               596842
    1566 |               597167               596913               597177
    1567 |               597425               597335               597977
    1568 |               598930               598394               598405
    1569 |               599325               599673               598967
    1570 |               600328               600630               600602
    1571 |               601485               600839               600707
    1572 |               601274               601618               601609
    1573 |               602087               602799               602737
    1574 |               603161               603746               604219
    1575 |               604170               604384               604124
    1576 |               604829               604571               604370
    1577 |               605389               605811               605981
    1578 |               606132               606043               606625
    1579 |               607056               606734               607550
    1580 |               608133               608248               607570
    1581 |               608712               608008               609128
    1582 |               609621               609094               609200
    1583 |               610028               610392               609976
    1584 |               610794               610907               611190
    1585 |               611768               612138               611550
    1586 |               612483               612591               611755
    1587 |               613389               613569               613347
    1588 |               614115               613421               614659
    1589 |               614531               614393               615077
    1590 |               614872               615775               615720
    1591 |               616496               616304               617382
    1592 |               617514               617302               617411
    1593 |               618406               617904               618344
    1594 |               618624               618934               618962
    1595 |               619786               620258               619470
    1596 |               621275               620478               619842
    1597 |               620778               621372               620416
    1598 |               621506               621625               622029
    1599 |               622260               622054               622838
    1600 |               623227               623819               623554
    1601 |               624198               624474               624476
    1602 |               625388               624611               625076
    1603 |               626114               626468               626122
    1604 |               626978               625878               627148
    1605 |               626981               626961               627333
    1606 |               628726               627710               628044
    1607 |               628965               628543               628515
    1608 |               629676               630251               629880
    1609 |               630479               630497               630199
    1610 |               631483               631518               632062
    1611 |               632270               632244               631920
    1612 |               633171               633207               633494
    1613 |               633448               633074               633104
    1614 |               634658               634271               634724
    1615 |               634781               635449               635111
    1616 |               636265               636317               635836
    1617 |               637435               636797               637047
    1618 |               637878               638400               637787
    1619 |               637862               638276               639160
    1620 |               639731               638713               639156
    1621 |               640124               640180               640342
    1622 |               640509               640881               640680
    1623 |               642230               641768               641316
    1624 |               642492               642688               642754
    1625 |               643333               642883               643513
    1626 |               643895               644455               644238
    1627 |               644286               644734               644716
    1628 |               645845               646208               645984
    1629 |               647165               646789               647047
    1630 |               647501               647151               647354
    1631 |               648679               648119               647763
    1632 |               649076               648501               648701
    1633 |               649879               648517               649541
    1634 |               650532               650648               650525
    1635 |               651705               650389               651299
    1636 |               652129               652426               651812
    1637 |               652813               653655               653193
    1638 |               652877               653602               653590
    1639 |               654253               654693               654427
    1640 |               655281               654893               655438
    1641 |               655627               655623               655923
    1642 |               656514               657287               657853
    1643 |               657637               658019               658579
    1644 |               658556               658229               658438
    1645 |               659007               659621               659041
    1646 |               660307               659226               660274
    1647 |               660674               660688               660732
    1648 |               661940               661838               661791
    1649 |               662784               662964               662940
    1650 |               663084               663702               663686
    1651 |               663822               663746               664212
    1652 |               665237               665256               665032
    1653 |               665523               666047               665851
    1654 |               666632               666442               666238
    1655 |               666983               667587               667719
    1656 |               668652               668248               669132
    1657 |               668934               668718               669266
    1658 |               669119               669686               669704
    1659 |               670968               671094               670544
    1660 |               670751               671643               671213
    1661 |               672060               671806               672636
    1662 |               673136               673305               673564
    1663 |               674494               673426               673984
    1664 |               675041               674589               674835
    1665 |               675431               675555               675847
    1666 |               676250               676515               677122
    1667 |               677343               676965               677039
    1668 |               678134               678227               678275
    1669 |               678862               678754               678904
    1670 |               679978               679292               679982
    1671 |               680534               680374               680142
    1672 |               681794               681259               680981
    1673 |               682579               682611               682607
    1674 |               682948               682931               683007
    1675 |               683952               683756               684000
    1676 |               684217               684470               684763
    1677 |               685299               685271               685417
    1678 |               685948               686327               685009
    1679 |               687091               686747               687213
    1680 |               687299               687664               687960
    1681 |               689219               688683               688471
    1682 |               689234               688605               689441
    1683 |               690736               690640               689852
    1684 |               691109               691120               690797
    1685 |               692221               691753               691405
    1686 |               692834               692731               692937
    1687 |               693668               693454               693300
    1688 |               694294               694520               694942
    1689 |               694999               695865               694701
    1690 |               696734               696623               696422
    1691 |               696744               696900               697126
    1692 |               697532               696504               697251
    1693 |               698655               698293               698721
    1694 |               698894               699123               699924
    1695 |               700578               700324               700090
    1696 |               701631               701346               701072
    1697 |               701813               701745               701699
    1698 |               702979               702857               702860
    1699 |               703582               703718               703164
    1700 |               704971               704746               705156
    1701 |               705211               706019               705507
    1702 |               706347               706062               706496
    1703 |               706947               706561               707441
    1704 |               707360               708069               708153
    1705 |               708619               709319               708917
    1706 |               709677               709837               709453
    1707 |               710700               710194               710772
    1708 |               711202               711188               711575
    1709 |               712141               712155               711385
    1710 |               713595               712952               712902
    1711 |               714010               714374               714240
    1712 |               714577               713879               714528
    1713 |               715538               715528               716274
    1714 |               716183               716339               716521
    1715 |               716763               717023               716805
    1716 |               717544               717707               718025
    1717 |               718784               718356               718236
    1718 |               719802               719300               719898
    1719 |               719849               720565               720721
    1720 |               721712               720957               721276
    1721 |               722794               721924               722706
    1722 |               722769               723231               723576
    1723 |               723553               724013               723627
    1724 |               724294               724432               724511
    1725 |               725459               725347               726171
    1726 |               726418               726238               726279
    1727 |               726833               726883               727085
    1728 |               728014               727891               727944
    1729 |               728352               728474               729000
    1730 |               730163               729375               729705
    1731 |               730462               730972               730624
    1732 |               731945               731931               731059
    1733 |               732010               732478               732412
    1734 |               732948               733268               733172
    1735 |               734275               733661               733727
    1736 |               735232               735249               735024
    1737 |               735237               735647               735815
    1738 |               736240               736771               736648
    1739 |               737130               737264               736806
    1740 |               737283               738019               738408
    1741 |               738575               739327               739141
    1742 |               739899               739832               739512
    1743 |               741315               741039               740571
    1744 |               741759               741283               741020
    1745 |               743140               742690               742416
    1746 |               743701               742797               743340
    1747 |               744467               743777               744103
    1748 |               744866               744533               744961
    1749 |               746466               746220               746316
    1750 |               746975               746318               746385
    1751 |               747604               747686               747806
    1752 |               749211               748067               749067
    1753 |               749052               750412               749926
    1754 |               750013               749873               750438
    1755 |               751094               751300               751372
    1756 |               752131               751500               752237
    1757 |               753024               753056               752602
    1758 |               753474               753726               754194
    1759 |               754856               754274               754590
    1760 |               755807               755778               755484
    1761 |               756618               756308               756030
    1762 |               757360               756944               757464
    1763 |               757627               758019               758295
    1764 |               759233               758825               759171
    1765 |               760023               759697               759545
    1766 |               760679               760569               760463
    1767 |               761337               761061               761547
    1768 |               762338               762147               762565
    1769 |               763446               763310               764130
    1770 |               764266               763979               763927
    1771 |               764896               765024               764652
    1772 |               765833               765608               765607
    1773 |               766614               766316               766276
    1774 |               766415               767449               768041
    1775 |               768548               768348               768940
    1776 |               769588               769367               769390
    1777 |               770536               770078               769914
    1778 |               770548               771182               771026
    1779 |               772557               772303               771615
    1780 |               772802               773051               773234
    1781 |               773232               774228               773196
    1782 |               774471               775234               774505
    1783 |               775342               775296               775100
    1784 |               776099               776365               776987
    1785 |               777309               776571               777533
    1786 |               778605               777664               777796
    1787 |               778892               779080               778588
    1788 |               779462               779204               779942
    1789 |               781297               780711               780277
    1790 |               781783               780841               781166
    1791 |               781979               782403               782585
    1792 |               783168               783442               783407
    1793 |               784002               783724               783986
    1794 |               784935               784744               785200
    1795 |               786168               786240               785420
    1796 |               786712               786794               787525
    1797 |               786974               787112               788320
    1798 |               788696               788199               788594
    1799 |               789560               789256               789852
