Vertexes |                Greed      GreedSortedDesc       GreedSortedAsc            GreedLEnd                  BBC           GreedLocal             BBCLocal                Brute
     142 |                 4602                 4599                 4599                 4489                 4944                 4445                 4411
     143 |                 4623                 4627                 4681                 4545                 4995                 4527                 4513
     144 |                 4726                 4692                 4679                 4609                 5070                 4599                 4547
     145 |                 4749                 4813                 4767                 4697                 5163                 4689                 4615
     146 |                 4815                 4829                 4843                 4699                 5211                 4712                 4672
     147 |                 4919                 4859                 4919                 4819                 5297                 4793                 4747
     148 |                 4985                 5003                 4885                 4850                 5349                 4828                 4790
     149 |                 5080                 5062                 5100                 4972                 5404                 4930                 4874
     150 |                 5159                 5192                 5131                 4950                 5472                 4990                 4955
     151 |                 5178                 5194                 5140                 5074                 5600                 5062                 5008
     152 |                 5270                 5270                 5324                 5125                 5676                 5117                 5083
     153 |                 5300                 5330                 5354                 5216                 5710                 5174
     154 |                 5387                 5449                 5404                 5308                 5846                 5251
     155 |                 5487                 5495                 5483                 5391                 5893                 5337
     156 |                 5574                 5583                 5557                 5456                 5969                 5422
     157 |                 5649                 5625                 5647                 5523                 6035                 5461
     158 |                 5694                 5717                 5708                 5605                 6112                 5501
     159 |                 5752                 5730                 5838                 5642                 6230                 5586
     160 |                 5844                 5830                 5839                 5724                 6232                 5705
     161 |                 5972                 5890                 5888                 5776                 6350                 5808
     162 |                 6058                 6022                 6046                 5906                 6412                 5871
     163 |                 6021                 6031                 6093                 5905                 6535                 5925
     164 |                 6145                 6105                 6150                 6020                 6629                 5998
     165 |                 6264                 6222                 6258                 6146                 6592                 6082
     166 |                 6380                 6323                 6245                 6172                 6818                 6158
     167 |                 6370                 6410                 6420                 6274                 6852                 6218
     168 |                 6509                 6440                 6516                 6316                 6942                 6312
     169 |                 6555                 6581                 6583                 6451                 7009                 6361
     170 |                 6639                 6648                 6626                 6460                 7129                 6429
     171 |                 6739                 6691                 6663                 6607                 7203                 6541
     172 |                 6800                 6740                 6751                 6637                 7270                 6624
     173 |                 6913                 6859                 6919                 6739                 7363                 6743
     174 |                 6942                 6928                 7012                 6786                 7429                 6769
     175 |                 6994                 7038                 7072                 6898                 7472                 6866
     176 |                 7100                 7077                 7127                 6972                 7667                 6922
     177 |                 7165                 7151                 7197                 7041                 7699                 7021
     178 |                 7262                 7312                 7313                 7109                 7770                 7085
     179 |                 7363                 7415                 7371                 7247                 7891                 7127
     180 |                 7476                 7420                 7460                 7317                 8006                 7272
     181 |                 7544                 7548                 7566                 7362                 8036                 7392
     182 |                 7624                 7614                 7618                 7500                 8138                 7399
     183 |                 7697                 7739                 7725                 7581                 8211                 7497
     184 |                 7883                 7836                 7739                 7571                 8350                 7642
     185 |                 7864                 7856                 7924                 7758                 8412                 7706
     186 |                 8020                 7955                 8010                 7819                 8474                 7755
     187 |                 8090                 8020                 8080                 7948                 8598                 7946
     188 |                 8226                 8146                 8162                 7987                 8737                 7958
     189 |                 8256                 8196                 8274                 8052                 8772                 7992
     190 |                 8308                 8318                 8326                 8089                 8881                 8046
     191 |                 8424                 8426                 8352                 8258                 8982                 8206
     192 |                 8502                 8504                 8483                 8396                 9177                 8289
     193 |                 8603                 8589                 8625                 8355                 9201                 8407
     194 |                 8718                 8623                 8670                 8573                 9280                 8487
     195 |                 8736                 8746                 8710                 8646                 9320                 8574
     196 |                 8905                 8822                 8826                 8660                 9412                 8600
     197 |                 8971                 8977                 8919                 8807                 9565                 8767
     198 |                 9092                 9040                 9133                 8890                 9609                 8851
     199 |                 9170                 9160                 9150                 8940                 9800                 8956
     200 |                 9181                 9260                 9265                 9040                 9864                 9023
     201 |                 9297                 9263                 9317                 9165                10017                 9083
     202 |                 9427                 9506                 9442                 9279                10135                 9227
     203 |                 9563                 9475                 9491                 9323                10155                 9213
     204 |                 9586                 9481                 9602                 9393                10290                 9297
     205 |                 9687                 9743                 9715                 9605                10381                 9451
     206 |                 9902                 9780                 9867                 9638                10487                 9598
     207 |                 9926                 9906                 9922                 9712                10570                 9672
     208 |                10028                 9990                10019                 9830                10618                 9749
     209 |                 9997                10071                10149                 9867                10835                 9869
     210 |                10232                10246                10252                10035                10809                 9955
     211 |                10299                10247                10261                10171                10963                10071
     212 |                10413                10381                10379                10200                11105                10155
     213 |                10553                10505                10557                10261                11135                10281
     214 |                10580                10581                10619                10317                11289                10365
     215 |                10656                10606                10722                10492                11468                10492
     216 |                10864                10818                10776                10656                11607                10535
     217 |                10955                10977                10937                10779                11681                10659
     218 |                11030                11039                10987                10799                11781                10716
     219 |                11097                11107                11127                10915                11925                10763
     220 |                11270                11222                11221                11018                11944                10976
     221 |                11289                11201                11279                11109                12095                11101
     222 |                11440                11391                11403                11229                12196                11206
     223 |                11536                11542                11620                11316                12268                11258
     224 |                11604                11637                11714                11450                12405                11391
     225 |                11798                11822                11746                11532                12490                11502
     226 |                11911                11823                11888                11580                12540                11586
     227 |                11922                11970                11902                11776                12784                11644
     228 |                12121                12127                12052                11818                12913                11867
     229 |                12186                12132                12196                11936                12968                11956
     230 |                12293                12372                12322                12038                13092                12004
     231 |                12332                12378                12502                12168                13232                12164
     232 |                12578                12412                12442                12215                13408                12184
     233 |                12583                12549                12635                12385                13363                12405
     234 |                12763                12682                12691                12432                13563                12403
     235 |                12735                12867                12799                12571                13699                12595
     236 |                12932                12931                13001                12713                13705                12680
     237 |                13059                13117                13065                12779                13877                12807
     238 |                13112                13199                13238                12920                14010                12847
     239 |                13312                13282                13320                13058                14230                12992
     240 |                13375                13270                13339                13211                14250                13198
     241 |                13551                13501                13453                13331                14365                13261
     242 |                13719                13540                13664                13386                14561                13341
     243 |                13807                13751                13647                13625                14717                13403
     244 |                13865                13868                13854                13588                14786                13518
     245 |                14043                13999                13881                13793                14953                13717
     246 |                14179                14031                14032                13906                14938                13788
     247 |                14240                14226                14264                13860                15180                13862
     248 |                14295                14335                14377                14216                15316                14044
     249 |                14397                14493                14525                14203                15335                14177
     250 |                14515                14569                14539                14297                15438                14282
